Fichier;Année;Type de centre de coût;Centre de coût;Charge finale ME (Res) (J);Charge réelle ME (Res) (J);Coût final ME (Res ouTrans);Coût réel ME (Res ouTrans);Projet. Id;Projet. Nom;Projet.Portefeuille;Projet. Entité payeur;Projet.Entité payeur mutualisée;Projet.Type;Projet.Nature du projet;Projet.Etat du processus;Projet.Etat du budget;Projet.Criticité;Projet.Priorité;Projet.Score criblage;Projet.Responsable 1;Portefeuille.Responsable 1;Projet.Actif;Date d'export
Coût prévisionnel;2026;Charge;CdP INFRA BUILD;40;25;30 100,00 €;12 000,00 €;PE10001;PE10001 - Modernisation atelier;DSI NEXTER.INFRASTRUCTURE OPE;;FAUX;Projet de mise en oeuvre (Projet);A) Traitement des obsolescences;Basculé en projet;Validé;Majeure;2 - Projet important;12;LAMBERT Luc;LAMBERT Luc;VRAI;10/09/2026
Coût prévisionnel;2026;Prestation;OPEX BUILD_Build team management;;;80 000,00 €;;PE10001;PE10001 - Modernisation atelier;DSI NEXTER.INFRASTRUCTURE OPE;;FAUX;Projet de mise en oeuvre (Projet);A) Traitement des obsolescences;Basculé en projet;Validé;Majeure;2 - Projet important;12;LAMBERT Luc;LAMBERT Luc;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;Concept.Dév.;30;10;22 500,00 €;;PE10002;Refonte portail interne;DSI NEXTER.GROUPE : Développements rapides;;FAUX;Etude (Projet);;Budget validé;Validé;;;9;Dan ROY;BERGER Paul;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;Architecte;15;18;11 250,00 €;;PE10003;Montée de version calcul;DSI NEXTER.INGENIERIE SYSTEMES;;FAUX;Projet ATLAS [Hors PDSI] (Projet);;Basculé en projet;Validé;;;7;Zoé LANE;DURAND Eve;FAUX;10/09/2026
Coût prévisionnel;2026;Licence;Licences ERP;;;5 000,00 €;5 000,00 €;MEWTBN7Q;Étude connectivité site B;DSI NEXTER.CORPORATE.ACHATS;;VRAI;Projet de gestion d'obsolescence (Projet);;Terminé;Validé;;;11;Dan ROY;BARBIER Anne;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;CdP CORPORATE;20;0;15 000,00 €;;PE10007;Sécurisation accès;DSI NEXTER.CORPORATE.QUALITE;;FAUX;Etude (Projet);;Annulé;;;;;;BARBIER Anne;VRAI;10/09/2026
Coût prévisionnel;2025;Charge;Concept.Dév.;12;12;9 000,00 €;9 000,00 €;PE10008;Cartographie applicative;DSI NEXTER.GROUPE : Forge Logiciels;;FAUX;Etude (Projet);;Budget validé;Validé;;;;Farid KOVAC;BERGER Paul;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;CdP ERP;8;0;6 000,00 €;;PE10009;Pilotage PDSI;DSI NEXTER.PROGRAMME ERP;;FAUX;Pilotage (Projet);;Budget présenté;Présenté;;;;ROUSSEL Marc;ROUSSEL Marc;VRAI;10/09/2026
Coût prévisionnel;2026;Matériel;Serveurs;;;120 000,00 €;;PE10010;Achat serveurs;DSI NEXTER.INFRASTRUCTURE OPE;;FAUX;Achat (Projet);;Budget validé;Validé;;;;LAMBERT Luc;LAMBERT Luc;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;Concept.Dév.;25;5;18 750,00 €;;PE10011;Maintenance évolutive GED;DSI NEXTER.GROUPE : Développements rapides;;FAUX;Evolution - TMA (Projet);;Budget validé;Validé;;;;Dan ROY;BERGER Paul;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;CdP INFRA BUILD;10;0;7 500,00 €;;PE10012;Migration reportée;DSI NEXTER.INFRASTRUCTURE OPE;;FAUX;Etude (Projet);;Reporté;;;;;;LAMBERT Luc;VRAI;10/09/2026
Coût prévisionnel;2026;Prestation;Run externalisé;;;40 000,00 €;;PE10013;Projet vendu X;DSI NEXTER.PROJETS VENDUS;;FAUX;RUN (Projet);;Budget validé;Validé;;;;NOBODY;NOBODY;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;CdP INFRA BUILD;5;0;3 750,00 €;;PE10014;Arbitrage RDLI INFRA;DSI NEXTER.INFRASTRUCTURE OPE;;FAUX;Etude (Projet);;Budget validé;Validé;;;;LAMBERT Luc;LAMBERT Luc;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;CdP CORPORATE;0;0;0,00 €;;PE10015;Portail fournisseurs;DSI NEXTER.CORPORATE.ACHATS;;FAUX;Projet de mise en oeuvre (Projet);;Budget validé;Validé;;;;Dan ROY;BARBIER Anne;VRAI;10/09/2026
Coût prévisionnel;2026;Licence;Licences portail;;;;;PE10015;Portail fournisseurs;DSI NEXTER.CORPORATE.ACHATS;;FAUX;Projet de mise en oeuvre (Projet);;Budget validé;Validé;;;;Dan ROY;BARBIER Anne;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;Concept.Dév.;10;2;7 500,00 €;;PE10016;Fusion référentiels;DSI NEXTER.PROGRAMME PLM;;FAUX;Etude (Projet);;Fusionné;Validé;;;;Dan ROY;ROUSSEL Marc;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;Concept.Dév.;3;0;2 250,00 €;;PE10017;Outil vendu Y;DSI NEXTER.PROJETS VENDUS;;FAUX;Etude (Projet);;Budget validé;Validé;;;;NOBODY;NOBODY;VRAI;10/09/2026
Coût prévisionnel;2026;Charge;CdP ERP;5;0;3 750,00 €;;PE10018;Cadrage nouvel outil;DSI NEXTER.PROGRAMME ERP;;FAUX;Etude (Opportunité);;Nouveau;Présenté;;;;ROUSSEL Marc;ROUSSEL Marc;VRAI;10/09/2026
